epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7963,2.10136,4.32928,0.95265,0.00394,0.68112,0.15334,0.07994,2.08033,4.36626,0.93353,0.000328191,0.000328191,0.000328191
2,191.713,1.94048,2.42646,0.89439,0.75317,0.62532,0.69193,0.29059,1.98592,2.40166,0.93601,0.00066155,0.00066155,0.00066155
3,306.4,1.91214,1.92984,0.9013,0.7552,0.76538,0.79173,0.33645,1.92445,1.82238,0.92625,0.000994748,0.000994748,0.000994748
4,394.317,1.84583,1.54382,0.89522,0.79679,0.75084,0.76461,0.29537,2.14622,1.50634,0.95855,0.00132766,0.00132766,0.00132766
5,485.09,1.78993,1.28667,0.89314,0.82007,0.84245,0.85825,0.37832,1.90751,1.29952,0.91399,0.00166017,0.00166017,0.00166017
6,582.43,1.75687,1.14115,0.89657,0.892,0.78655,0.87149,0.40106,1.83978,1.07477,0.90097,0.00166446,0.00166446,0.00166446
7,672.303,1.78737,1.04839,0.88877,0.84961,0.87446,0.89534,0.39097,1.77994,1.07382,0.89777,0.00166334,0.00166334,0.00166334
8,762.508,1.76385,0.96143,0.88321,0.90721,0.84155,0.88811,0.39469,1.81479,0.89895,0.89384,0.00166202,0.00166202,0.00166202
9,867.348,1.67729,0.87603,0.87107,0.88932,0.83853,0.89797,0.42163,1.7905,0.89455,0.89124,0.00166049,0.00166049,0.00166049
10,966.673,1.68522,0.87663,0.8785,0.86246,0.84869,0.88644,0.4271,1.82801,0.87786,0.89951,0.00165877,0.00165877,0.00165877
11,1057.57,1.68985,0.87876,0.87995,0.91103,0.87511,0.89882,0.42472,1.74624,0.84286,0.89244,0.00165684,0.00165684,0.00165684
12,1156.09,1.65889,0.84331,0.88228,0.90713,0.84299,0.90208,0.42201,1.87365,0.89069,0.89887,0.00165471,0.00165471,0.00165471
13,1242.97,1.66983,0.84154,0.86572,0.91916,0.91244,0.94,0.44377,1.71729,0.84232,0.88921,0.00165238,0.00165238,0.00165238
14,1317.53,1.67482,0.83889,0.87795,0.87748,0.85963,0.87226,0.38607,1.91176,0.81955,0.91074,0.00164986,0.00164986,0.00164986
15,1384.66,1.66641,0.82853,0.87039,0.91184,0.89623,0.90437,0.42914,1.81506,0.77471,0.89097,0.00164713,0.00164713,0.00164713
16,1474.62,1.58718,0.77625,0.85741,0.93626,0.86702,0.91728,0.46537,1.68943,0.80705,0.8882,0.0016442,0.0016442,0.0016442
17,1574.49,1.59141,0.75834,0.86812,0.88965,0.90073,0.90952,0.42861,1.83929,0.81399,0.89908,0.00164108,0.00164108,0.00164108
18,1678.53,1.60801,0.7942,0.85807,0.912,0.88056,0.90213,0.39848,1.89648,0.81194,0.91653,0.00163775,0.00163775,0.00163775
19,1780.07,1.5986,0.74745,0.85565,0.93318,0.90248,0.93676,0.47046,1.7494,0.76777,0.88907,0.00163424,0.00163424,0.00163424
20,1889.16,1.58883,0.75293,0.87564,0.92174,0.88449,0.9381,0.45743,1.75706,0.78209,0.89635,0.00163052,0.00163052,0.00163052
21,1977.76,1.57797,0.75692,0.86905,0.90754,0.92547,0.94417,0.43846,1.84598,0.83816,0.90239,0.00162661,0.00162661,0.00162661
22,2088.23,1.61307,0.75861,0.86269,0.90311,0.89718,0.92603,0.46494,1.7753,0.79582,0.88637,0.00162251,0.00162251,0.00162251
