epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.362,1.29407,2.93022,1.23932,0.55648,0.51351,0.57359,0.3456,1.51179,2.87928,1.06641,0.000330667,0.000330667,0.000330667
2,635.034,1.18937,1.75931,1.09725,0.73,0.48649,0.63565,0.34649,1.60934,2.21668,1.16587,0.000664027,0.000664027,0.000664027
3,837.889,1.23245,1.29917,1.11907,0.78414,0.80068,0.79962,0.39562,1.42591,1.56281,0.97129,0.000997224,0.000997224,0.000997224
4,1035.11,1.19249,1.03598,1.08242,0.82265,0.77703,0.82915,0.45799,1.3628,1.1694,0.96903,0.00133014,0.00133014,0.00133014
5,1230.14,1.16217,0.86057,1.07272,0.88696,0.79528,0.88746,0.48871,1.42866,1.01764,1.01333,0.00166264,0.00166264,0.00166264
6,1425.64,1.14408,0.8002,1.07548,0.86469,0.83784,0.88185,0.46791,1.48511,0.95252,1.05395,0.00166446,0.00166446,0.00166446
7,1652.17,1.14453,0.80413,1.0678,0.84604,0.82095,0.86711,0.49411,1.35986,0.81678,1.0229,0.00166334,0.00166334,0.00166334
8,1842.26,1.03832,0.70083,1.029,0.78814,0.67865,0.72486,0.37246,1.41318,1.30068,1.03049,0.00166202,0.00166202,0.00166202
9,2045.26,1.00013,0.66966,1.00585,0.84964,0.83446,0.88168,0.51393,1.28976,0.7915,0.92835,0.00166049,0.00166049,0.00166049
10,2297.32,1.01442,0.66239,1.02559,0.83067,0.79392,0.86451,0.53414,1.23182,1.10163,1.00421,0.00165877,0.00165877,0.00165877
11,2671.98,0.94793,0.59826,1.00486,0.85014,0.87162,0.90919,0.54665,1.23083,0.66347,0.94752,0.00165684,0.00165684,0.00165684
12,5844.84,0.9649,0.60577,0.98191,0.83743,0.85273,0.8852,0.53241,1.25317,1.04818,0.90857,0.00165471,0.00165471,0.00165471
13,6046.36,0.95266,0.5991,0.9977,0.90484,0.91892,0.94244,0.5922,1.126,0.60422,0.89881,0.00165238,0.00165238,0.00165238
14,6229.91,0.91184,0.57441,0.97999,0.9216,0.87365,0.92506,0.53289,1.30485,0.66693,0.93088,0.00164986,0.00164986,0.00164986
15,6414.64,0.92951,0.58092,0.98226,0.89957,0.90878,0.94645,0.59086,1.15871,0.60658,0.85006,0.00164713,0.00164713,0.00164713
16,6600.13,0.90075,0.55629,0.97337,0.90752,0.84122,0.91532,0.56239,1.17453,0.75497,0.87966,0.0016442,0.0016442,0.0016442
17,6778.5,0.88729,0.55578,0.97507,0.90649,0.87838,0.91794,0.55232,1.24781,0.66887,0.87697,0.00164108,0.00164108,0.00164108
18,6975.23,0.8857,0.52941,0.9706,0.9515,0.875,0.94014,0.51925,1.32165,0.69251,1.09486,0.00163775,0.00163775,0.00163775
19,7167.25,0.91663,0.56151,0.97712,0.87521,0.9004,0.91913,0.53692,1.25947,0.69404,1.10753,0.00163424,0.00163424,0.00163424
20,7364.99,0.86507,0.5427,0.95774,0.94228,0.88851,0.93104,0.54781,1.25957,0.74829,1.07239,0.00163052,0.00163052,0.00163052
21,7577.76,0.89415,0.53613,0.96239,0.92939,0.87838,0.93617,0.55748,1.19642,0.69027,0.94249,0.00162661,0.00162661,0.00162661
22,7793.07,0.84021,0.50427,0.95302,0.94358,0.91216,0.9479,0.57529,1.1888,0.61996,0.92172,0.00162251,0.00162251,0.00162251
23,8006.71,0.82572,0.49673,0.95774,0.93292,0.92568,0.9541,0.58606,1.14033,0.56955,0.84736,0.00161822,0.00161822,0.00161822
24,8226.7,0.84393,0.52355,0.9631,0.92494,0.92568,0.94067,0.54125,1.2291,0.5982,0.89398,0.00161373,0.00161373,0.00161373
25,8478.01,0.83695,0.49525,0.94065,0.90735,0.95608,0.96548,0.61192,1.06936,0.52529,0.81036,0.00160905,0.00160905,0.00160905
26,8726.78,0.83914,0.50126,0.95338,0.96469,0.93243,0.96133,0.59395,1.16365,0.55711,0.86448,0.00160419,0.00160419,0.00160419
27,8944.76,0.82162,0.48335,0.93596,0.91514,0.91892,0.95775,0.61897,1.0923,0.58248,0.83152,0.00159913,0.00159913,0.00159913
28,9216.01,0.81227,0.49298,0.94801,0.93514,0.93581,0.95705,0.58832,1.12868,0.55774,0.83723,0.00159389,0.00159389,0.00159389
29,9499.5,0.81317,0.48204,0.93107,0.93426,0.91224,0.95324,0.59435,1.15335,0.56884,0.84982,0.00158847,0.00158847,0.00158847
30,9776.23,0.78899,0.47112,0.93687,0.93967,0.92568,0.95088,0.59754,1.16141,0.60008,0.81125,0.00158286,0.00158286,0.00158286
31,10025.3,0.81387,0.48483,0.93435,0.9239,0.9023,0.93244,0.59673,1.09347,0.54756,0.84871,0.00157706,0.00157706,0.00157706
32,704.526,1.83816,0.9244,0.88081,0.89818,0.59459,0.65896,0.29698,2.97213,3.33732,352.633,0.00157109,0.00157109,0.00157109
