epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.395,1.49779,2.83051,1.35529,0.49054,0.51828,0.50186,0.21452,1.95982,2.41772,1.42999,0.000332328,0.000332328,0.000332328
2,1024.02,1.53437,1.99937,1.35843,0.47903,0.45984,0.41234,0.15979,2.1622,2.06194,1.52656,0.000665565,0.000665565,0.000665565
3,1422.8,1.57515,1.71103,1.40017,0.46681,0.41923,0.44297,0.2025,2.02338,2.2512,1.46664,0.000998152,0.000998152,0.000998152
4,1847.54,1.54607,1.60212,1.38775,0.51016,0.60639,0.54084,0.26762,1.73366,1.73728,1.30407,0.0013296,0.0013296,0.0013296
5,2298.02,1.55677,1.52246,1.38998,0.5557,0.58284,0.55947,0.25731,1.85248,1.46163,1.3265,0.00165943,0.00165943,0.00165943
6,2760.8,1.52355,1.44592,1.35364,0.57603,0.63056,0.59352,0.29816,1.77737,1.25918,1.26037,0.00165684,0.00165684,0.00165684
7,3224.97,1.50478,1.42556,1.34108,0.69442,0.64273,0.65826,0.31717,1.80267,1.25067,1.25783,0.00165238,0.00165238,0.00165238
8,3725.72,1.46925,1.35953,1.33437,0.57283,0.7256,0.64223,0.29899,1.8336,1.182,1.22272,0.00164713,0.00164713,0.00164713
9,4247.42,1.43352,1.31527,1.30527,0.70596,0.64956,0.70849,0.36667,1.72807,1.16201,1.17678,0.00164108,0.00164108,0.00164108
10,4527.27,1.42381,1.28847,1.28942,0.6927,0.64974,0.69325,0.35181,1.69509,1.25122,1.18985,0.00163424,0.00163424,0.00163424
11,4833.09,1.40849,1.25607,1.28495,0.75374,0.67333,0.72056,0.34486,1.73244,1.0267,1.21454,0.00162661,0.00162661,0.00162661
12,5167.86,1.39001,1.21274,1.27601,0.76516,0.74938,0.79945,0.42215,1.54919,1.02969,1.12069,0.00161822,0.00161822,0.00161822
13,5437.26,1.37746,1.18023,1.26247,0.82017,0.71455,0.82312,0.45088,1.48096,0.92522,1.09588,0.00160905,0.00160905,0.00160905
14,5712.19,1.36317,1.17532,1.26261,0.74454,0.73998,0.76235,0.40688,1.49782,1.02064,1.13143,0.00159913,0.00159913,0.00159913
15,5977.6,1.35144,1.16849,1.25831,0.72689,0.6542,0.71982,0.36467,1.57655,1.00284,1.19125,0.00158847,0.00158847,0.00158847
16,6254.26,1.33317,1.13367,1.24655,0.7487,0.65579,0.73143,0.38568,1.53649,1.10501,1.16738,0.00157706,0.00157706,0.00157706
17,6539.1,1.32917,1.10457,1.24759,0.74023,0.76827,0.79467,0.40491,1.58439,0.93846,1.1358,0.00156493,0.00156493,0.00156493
18,6822.55,1.30829,1.10122,1.2313,0.79211,0.7426,0.81133,0.42343,1.51565,0.87353,1.10965,0.00155209,0.00155209,0.00155209
19,7104.53,1.30343,1.0976,1.22817,0.816,0.77106,0.81221,0.43038,1.44861,0.86179,1.1066,0.00153854,0.00153854,0.00153854
20,7378.36,1.27482,1.07322,1.21237,0.70246,0.76219,0.76831,0.43456,1.42913,0.90189,1.10078,0.00152431,0.00152431,0.00152431
21,7640.01,1.29563,1.0728,1.2249,0.86717,0.73503,0.79962,0.44448,1.44735,0.86468,1.05448,0.00150941,0.00150941,0.00150941
22,7906.12,1.28261,1.05089,1.21692,0.72036,0.778,0.8143,0.46187,1.4074,0.92011,1.07157,0.00149384,0.00149384,0.00149384
23,8174.58,1.27796,1.04262,1.2089,0.75826,0.76778,0.81911,0.46248,1.46754,0.91271,1.11977,0.00147764,0.00147764,0.00147764
24,8449.16,1.26648,1.01372,1.21386,0.8031,0.77375,0.81746,0.44581,1.42908,0.84956,1.0683,0.0014608,0.0014608,0.0014608
25,8721.04,1.23887,1.00239,1.19459,0.7359,0.81456,0.81325,0.45113,1.42279,0.9048,1.03957,0.00144335,0.00144335,0.00144335
26,8993.23,1.25901,1.00656,1.20155,0.79515,0.82911,0.81429,0.43839,1.43283,0.84679,1.14141,0.00142531,0.00142531,0.00142531
27,9253.89,1.25208,0.99481,1.19788,0.83458,0.75986,0.82707,0.4458,1.46781,0.87652,1.05946,0.0014067,0.0014067,0.0014067
28,9520.27,1.22799,0.97274,1.19994,0.75168,0.79214,0.82457,0.47297,1.3767,0.78543,1.044,0.00138753,0.00138753,0.00138753
29,9781.89,1.19934,0.9467,1.17997,0.79344,0.81918,0.83238,0.48021,1.40179,0.77265,1.04125,0.00136781,0.00136781,0.00136781
30,10049.9,1.20537,0.94512,1.17473,0.83928,0.8122,0.84898,0.47659,1.42434,0.79561,1.06728,0.00134758,0.00134758,0.00134758
31,10317.5,1.22471,0.95236,1.17918,0.85245,0.80773,0.84882,0.48315,1.40321,0.80394,1.07112,0.00132685,0.00132685,0.00132685
