epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,672.186,1.5284,2.93261,1.39802,0.38412,0.45764,0.42004,0.20179,1.78708,2.22435,1.3271,0.000332377,0.000332377,0.000332377
2,1346.21,1.55077,2.01656,1.40641,0.42446,0.39213,0.39096,0.17345,1.98139,2.02385,1.48095,0.000665615,0.000665615,0.000665615
3,1882.34,1.59623,1.76692,1.42242,0.5858,0.61246,0.5708,0.24922,1.9839,1.74898,1.388,0.000998201,0.000998201,0.000998201
4,2567.53,1.60047,1.66085,1.42795,0.58434,0.5488,0.55257,0.25761,1.90322,1.58361,1.33674,0.00132965,0.00132965,0.00132965
5,3151.18,1.58349,1.61107,1.42067,0.63433,0.53558,0.61364,0.28431,1.87079,1.31884,1.2917,0.00165947,0.00165947,0.00165947
6,3670.6,1.55024,1.51711,1.37907,0.62958,0.56565,0.59024,0.27608,1.88567,1.44611,1.32092,0.00165684,0.00165684,0.00165684
7,4102.2,1.51892,1.48899,1.37995,0.75018,0.62034,0.68639,0.33761,1.66106,1.14676,1.28026,0.00165238,0.00165238,0.00165238
8,4600.58,1.48428,1.38954,1.3493,0.73942,0.50285,0.63099,0.3104,1.77118,1.22638,1.24257,0.00164713,0.00164713,0.00164713
9,5041.43,1.45294,1.35419,1.32454,0.6436,0.59277,0.62338,0.29333,1.73996,1.28295,1.2538,0.00164108,0.00164108,0.00164108
10,5535.87,1.43887,1.33772,1.31236,0.67999,0.61532,0.65587,0.33686,1.60346,1.13173,1.16612,0.00163424,0.00163424,0.00163424
11,5975.16,1.42497,1.29913,1.31048,0.64051,0.65426,0.70213,0.36735,1.63001,1.05339,1.19582,0.00162661,0.00162661,0.00162661
12,6489.45,1.41521,1.25662,1.30834,0.64578,0.63393,0.68473,0.34123,1.62011,1.055,1.20984,0.00161822,0.00161822,0.00161822
13,6979.09,1.38788,1.23738,1.28878,0.62638,0.64452,0.65648,0.35459,1.56637,1.13766,1.16361,0.00160905,0.00160905,0.00160905
14,7464.32,1.37382,1.21522,1.28054,0.72981,0.67937,0.7216,0.36646,1.57334,1.1461,1.24906,0.00159913,0.00159913,0.00159913
15,7898.67,1.35862,1.17878,1.2628,0.75455,0.66166,0.73206,0.36667,1.58162,0.9711,1.15005,0.00158847,0.00158847,0.00158847
16,8422.17,1.33183,1.14031,1.2467,0.67763,0.72112,0.72842,0.38676,1.5121,0.98516,1.14672,0.00157706,0.00157706,0.00157706
17,8870.5,1.33673,1.14977,1.2617,0.74798,0.76292,0.77361,0.40017,1.55544,0.98848,1.18503,0.00156493,0.00156493,0.00156493
18,9368.12,1.32215,1.13493,1.25524,0.74781,0.68408,0.7472,0.37267,1.50888,0.98636,1.14735,0.00155209,0.00155209,0.00155209
19,9815.88,1.31394,1.12977,1.25396,0.6612,0.6984,0.72325,0.36023,1.55907,1.02888,1.13904,0.00153854,0.00153854,0.00153854
20,10332,1.30529,1.11423,1.24679,0.73617,0.76254,0.80347,0.41403,1.53804,0.96058,1.13661,0.00152431,0.00152431,0.00152431
21,10774.6,1.30065,1.08931,1.24997,0.76941,0.74145,0.77771,0.42127,1.45996,0.90121,1.11504,0.00150941,0.00150941,0.00150941
