epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,579.475,1.5284,2.93261,1.39802,0.38412,0.45764,0.42004,0.20179,1.78708,2.22435,1.3271,0.000332377,0.000332377,0.000332377
2,1026.28,1.55077,2.01656,1.40641,0.42446,0.39213,0.39096,0.17345,1.98139,2.02385,1.48095,0.000665615,0.000665615,0.000665615
3,1481.37,1.59623,1.76692,1.42242,0.5858,0.61246,0.5708,0.24922,1.9839,1.74898,1.388,0.000998201,0.000998201,0.000998201
4,1996.29,1.60047,1.66085,1.42795,0.58434,0.5488,0.55257,0.25761,1.90322,1.58361,1.33674,0.00132965,0.00132965,0.00132965
5,2629.54,1.58349,1.61107,1.42067,0.63433,0.53558,0.61364,0.28431,1.87079,1.31884,1.2917,0.00165947,0.00165947,0.00165947
6,3144.89,1.55024,1.51711,1.37907,0.62958,0.56565,0.59024,0.27608,1.88567,1.44611,1.32092,0.00165684,0.00165684,0.00165684
7,3652.5,1.51892,1.48899,1.37995,0.75018,0.62034,0.68639,0.33761,1.66106,1.14676,1.28026,0.00165238,0.00165238,0.00165238
8,4112.03,1.48428,1.38954,1.3493,0.73942,0.50285,0.63099,0.3104,1.77118,1.22638,1.24257,0.00164713,0.00164713,0.00164713
9,4525.71,1.45294,1.35419,1.32454,0.6436,0.59277,0.62338,0.29333,1.73996,1.28295,1.2538,0.00164108,0.00164108,0.00164108
10,4947.15,1.43887,1.33772,1.31236,0.67999,0.61532,0.65587,0.33686,1.60346,1.13173,1.16612,0.00163424,0.00163424,0.00163424
11,5353.66,1.42497,1.29913,1.31048,0.64051,0.65426,0.70213,0.36735,1.63001,1.05339,1.19582,0.00162661,0.00162661,0.00162661
12,5794.63,1.41521,1.25662,1.30834,0.64578,0.63393,0.68473,0.34123,1.62011,1.055,1.20984,0.00161822,0.00161822,0.00161822
13,6193.78,1.38788,1.23738,1.28878,0.62638,0.64452,0.65648,0.35459,1.56637,1.13766,1.16361,0.00160905,0.00160905,0.00160905
14,6645.44,1.37382,1.21522,1.28054,0.72981,0.67937,0.7216,0.36646,1.57334,1.1461,1.24906,0.00159913,0.00159913,0.00159913
15,7068.09,1.35862,1.17878,1.2628,0.75455,0.66166,0.73206,0.36667,1.58162,0.9711,1.15005,0.00158847,0.00158847,0.00158847
16,7521.75,1.33183,1.14031,1.2467,0.67763,0.72112,0.72842,0.38676,1.5121,0.98516,1.14672,0.00157706,0.00157706,0.00157706
17,7928.48,1.33673,1.14977,1.2617,0.74798,0.76292,0.77361,0.40017,1.55544,0.98848,1.18503,0.00156493,0.00156493,0.00156493
18,8334.86,1.32215,1.13493,1.25524,0.74781,0.68408,0.7472,0.37267,1.50888,0.98636,1.14735,0.00155209,0.00155209,0.00155209
19,8738.4,1.31394,1.12977,1.25396,0.6612,0.6984,0.72325,0.36023,1.55907,1.02888,1.13904,0.00153854,0.00153854,0.00153854
20,9180.45,1.30529,1.11423,1.24679,0.73617,0.76254,0.80347,0.41403,1.53804,0.96058,1.13661,0.00152431,0.00152431,0.00152431
21,9549.16,1.30065,1.08931,1.24997,0.76941,0.74145,0.77771,0.42127,1.45996,0.90121,1.11504,0.00150941,0.00150941,0.00150941
22,9917.7,1.29527,1.07719,1.23305,0.7523,0.75556,0.80383,0.44276,1.4585,0.89734,1.10709,0.00149384,0.00149384,0.00149384
23,10218.2,1.26539,1.0681,1.22611,0.7727,0.78301,0.81733,0.44574,1.43774,0.85393,1.13981,0.00147764,0.00147764,0.00147764
24,10738.2,1.28815,1.05492,1.23049,0.77149,0.72093,0.78482,0.45571,1.34599,0.87106,1.06511,0.0014608,0.0014608,0.0014608
25,11214.2,1.27557,1.04481,1.21934,0.77298,0.72846,0.82251,0.45599,1.39036,0.83686,1.0862,0.00144335,0.00144335,0.00144335
26,11768.3,1.25778,1.04227,1.21231,0.8011,0.76615,0.83424,0.4623,1.34109,0.81898,1.08548,0.00142531,0.00142531,0.00142531
27,12320.2,1.24517,1.04,1.21393,0.73145,0.75999,0.79133,0.42564,1.39844,0.85569,1.1238,0.0014067,0.0014067,0.0014067
28,12713.2,1.23803,0.99964,1.20671,0.81116,0.71949,0.81464,0.46107,1.3998,0.81569,1.09153,0.00138753,0.00138753,0.00138753
29,13036.6,1.2262,0.99762,1.19964,0.79294,0.78043,0.83133,0.46382,1.37722,0.81958,1.11868,0.00136781,0.00136781,0.00136781
30,13402.8,1.2275,0.97835,1.20265,0.828,0.75874,0.8398,0.45888,1.40093,0.82902,1.10367,0.00134758,0.00134758,0.00134758
31,13705.1,1.21653,0.98202,1.1951,0.80249,0.81383,0.84078,0.4473,1.38798,0.81936,1.09006,0.00132685,0.00132685,0.00132685
32,14044.2,1.22807,0.98541,1.19248,0.83173,0.77482,0.84086,0.48,1.33748,0.79512,1.07157,0.00130565,0.00130565,0.00130565
33,14343.6,1.22367,0.98346,1.20355,0.74239,0.80224,0.81818,0.46343,1.40706,0.81551,1.05987,0.00128398,0.00128398,0.00128398
34,14704.2,1.2049,0.95252,1.19524,0.79034,0.82591,0.84759,0.46777,1.35033,0.76018,1.06845,0.00126188,0.00126188,0.00126188
35,15003.2,1.20895,0.94702,1.20134,0.80931,0.77147,0.83175,0.45946,1.36789,0.78819,1.07516,0.00123936,0.00123936,0.00123936
36,15341.3,1.17136,0.91431,1.17289,0.81432,0.78509,0.8368,0.46994,1.35932,0.80177,1.07844,0.00121645,0.00121645,0.00121645
37,15634.7,1.19418,0.9199,1.1766,0.79609,0.80129,0.85179,0.48687,1.3431,0.79981,1.07056,0.00119317,0.00119317,0.00119317
38,15992.9,1.18844,0.92559,1.17792,0.77191,0.79815,0.83582,0.47997,1.31742,0.79442,1.06154,0.00116955,0.00116955,0.00116955
39,16458.3,1.18131,0.91701,1.17515,0.81193,0.78176,0.84919,0.49969,1.28163,0.76951,1.04866,0.0011456,0.0011456,0.0011456
40,17062.8,1.14905,0.89895,1.15938,0.80781,0.79483,0.85204,0.4901,1.30508,0.7579,1.06407,0.00112135,0.00112135,0.00112135
41,17544.3,1.16564,0.9013,1.16877,0.83763,0.85001,0.85749,0.49785,1.29871,0.73839,1.05345,0.00109683,0.00109683,0.00109683
