epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.803,1.85273,4.3726,0.91437,0.00246,0.26068,0.00218,0.00089,1.97779,5.32208,0.9151,0.00038341,0.00038341,0.00038341
2,317.015,1.74251,2.65385,0.8756,0.00302,0.36496,0.00279,0.00134,1.97773,5.18934,0.92617,0.000775733,0.000775733,0.000775733
3,594.278,1.6477,2.21526,0.87709,0.00408,0.49316,0.08014,0.05288,1.96988,4.29867,0.91239,0.00116014,0.00116014,0.00116014
4,715.049,1.65372,2.12717,0.88316,0.00753,0.23504,0.00722,0.00384,2.041,138.454,0.92872,0.00153662,0.00153662,0.00153662
5,804.44,1.61588,1.79056,0.88603,0.46794,0.33761,0.47782,0.21811,1.92588,2.62962,0.90146,0.00160099,0.00160099,0.00160099
6,891.387,1.53348,1.70702,0.87987,0.55647,0.54814,0.6223,0.28244,1.9396,1.81752,0.89011,0.00158448,0.00158448,0.00158448
7,978.766,1.543,1.48803,0.87188,0.6134,0.6103,0.62823,0.29592,1.89451,2.24449,0.90525,0.00156798,0.00156798,0.00156798
8,1069.91,1.62482,1.45251,0.88018,0.72047,0.81453,0.72784,0.28263,1.796,1.67759,0.88093,0.00155148,0.00155148,0.00155148
9,1160.26,1.5412,1.2729,0.87293,0.80887,0.79317,0.82919,0.34784,1.67173,1.53656,0.87275,0.00153497,0.00153497,0.00153497
10,1247.99,1.51602,1.17348,0.86345,0.7641,0.89842,0.90077,0.33013,1.71756,1.46984,0.86689,0.00151847,0.00151847,0.00151847
11,1335.25,1.53446,1.15264,0.86941,0.69837,0.82424,0.80777,0.40093,1.66062,1.34474,0.86408,0.00150197,0.00150197,0.00150197
12,1424.25,1.37883,1.02406,0.84668,0.79217,0.92502,0.87977,0.4144,1.51936,1.18875,0.83823,0.00148546,0.00148546,0.00148546
13,1540.26,1.43977,0.99877,0.8602,0.51302,0.48889,0.47907,0.29333,1.71607,1.51534,0.89761,0.00146896,0.00146896,0.00146896
14,1746.81,1.49317,0.98137,0.85474,0.86371,0.84444,0.8061,0.3705,1.70983,1.08464,0.85909,0.00145246,0.00145246,0.00145246
15,1888.39,1.4144,0.88533,0.85071,0.69259,0.81026,0.72464,0.36768,1.63543,1.10829,0.84722,0.00143595,0.00143595,0.00143595
16,2085.38,1.46566,0.90279,0.8669,0.75667,0.8203,0.75311,0.34416,1.57404,1.00856,0.84277,0.00141945,0.00141945,0.00141945
17,2286.83,1.42185,0.87669,0.87042,0.71046,0.84017,0.7555,0.38688,1.51943,0.99994,0.83936,0.00140295,0.00140295,0.00140295
18,2491.58,1.37027,0.81684,0.85153,0.81763,0.70598,0.80231,0.41166,1.48574,1.06147,0.83549,0.00138644,0.00138644,0.00138644
19,2690.83,1.338,0.82957,0.83923,0.76991,0.73341,0.71104,0.3794,1.55457,0.9614,0.84567,0.00136994,0.00136994,0.00136994
20,2880.18,1.3516,0.76506,0.83722,0.95798,0.92132,0.97459,0.5171,1.57049,0.96069,0.8614,0.00135344,0.00135344,0.00135344
21,3078.37,1.34812,0.7402,0.831,0.80088,0.73638,0.79587,0.40946,1.54702,0.88894,0.84219,0.00133693,0.00133693,0.00133693
22,3272.33,1.30923,0.73022,0.83234,0.85735,0.8188,0.81547,0.43804,1.52239,0.80431,0.83795,0.00132043,0.00132043,0.00132043
