epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.989,1.85273,4.3726,0.91437,0.00246,0.26068,0.00218,0.00089,1.97779,5.32208,0.9151,0.00038341,0.00038341,0.00038341
2,203.937,1.73063,2.64295,0.87473,0.00252,0.3265,0.0022,0.00118,1.94428,5.17279,0.92126,0.000752464,0.000752464,0.000752464
3,296.039,1.60586,2.21029,0.87686,0.0103,0.23932,0.02832,0.0157,1.85874,4.48739,0.89634,0.00108983,0.00108983,0.00108983
4,388.035,1.65221,2.16054,0.88142,0.48863,0.1837,0.33678,0.19724,1.8128,3.26313,0.90107,0.00139551,0.00139551,0.00139551
5,479.068,1.612,1.83816,0.88817,0.89341,0.36752,0.46713,0.2346,1.80008,2.4518,0.87396,0.00140295,0.00140295,0.00140295
6,570.48,1.48728,1.70305,0.87822,0.9041,0.52479,0.62453,0.29005,1.78972,1.89464,0.86601,0.00133693,0.00133693,0.00133693
7,662.91,1.5061,1.51538,0.86431,0.68041,0.80529,0.71691,0.35709,1.67185,1.65121,0.85191,0.00127092,0.00127092,0.00127092
8,759.237,1.61933,1.50836,0.87946,0.71976,0.71026,0.65663,0.30046,1.79601,1.62072,0.87541,0.00120491,0.00120491,0.00120491
9,879.43,1.51537,1.31688,0.86994,0.76654,0.69986,0.81198,0.37367,1.79477,1.74897,0.89749,0.00113889,0.00113889,0.00113889
10,1036.69,1.42102,1.21725,0.85913,0.57918,0.62127,0.60321,0.32181,1.7358,1.39867,0.8971,0.00107288,0.00107288,0.00107288
11,1146.64,1.4895,1.19048,0.85788,0.59462,0.50576,0.61974,0.32667,1.64429,1.39747,0.86784,0.00100687,0.00100687,0.00100687
12,1238.49,1.36603,1.08547,0.85041,0.75663,0.79479,0.84478,0.37887,1.58452,1.24145,0.85421,0.000940855,0.000940855,0.000940855
13,1339.03,1.37731,1.06119,0.84993,0.85155,0.77234,0.83651,0.38835,1.62065,1.25615,0.86369,0.000874842,0.000874842,0.000874842
14,1511.38,1.42317,1.05706,0.84256,0.78218,0.79316,0.8272,0.36138,1.62127,1.20372,0.87372,0.000808828,0.000808828,0.000808828
15,1700.94,1.30166,0.92476,0.8362,0.73156,0.70987,0.71519,0.40323,1.6248,1.17303,0.86977,0.000742815,0.000742815,0.000742815
16,1787.17,1.23315,1.03209,0.85365,0.80698,0.74245,0.73736,0.4224,1.55803,1.07942,0.85408,0.000676802,0.000676802,0.000676802
17,1873.49,1.31098,1.05982,0.86389,0.68564,0.73825,0.75867,0.39543,1.54054,1.07092,0.86341,0.000610789,0.000610789,0.000610789
18,1960.9,1.2488,0.95698,0.85161,0.96067,0.92599,0.97793,0.45352,1.47785,0.9907,0.84346,0.000544776,0.000544776,0.000544776
19,2052.54,1.3456,1.00134,0.87066,0.92631,0.93038,0.96703,0.43216,1.52814,1.01231,0.8487,0.000478762,0.000478762,0.000478762
20,2139.98,1.25886,0.94766,0.86777,0.8536,0.89644,0.96218,0.45015,1.46624,0.96782,0.8437,0.000412749,0.000412749,0.000412749
21,2228.73,1.2579,0.92206,0.8621,0.94913,0.90049,0.96172,0.45712,1.4592,0.96645,0.84888,0.000346736,0.000346736,0.000346736
22,2322,1.19078,0.86566,0.84935,0.83567,0.83651,0.84752,0.43736,1.42842,0.93119,0.84817,0.000280723,0.000280723,0.000280723
23,2428.02,1.13997,0.82768,0.84162,0.95609,0.91225,0.97616,0.4349,1.4501,0.92774,0.84738,0.00021471,0.00021471,0.00021471
24,2518.84,1.1115,0.82715,0.83843,0.93819,0.94075,0.98064,0.44122,1.42753,0.89251,0.84544,0.000148696,0.000148696,0.000148696
25,2604.74,1.14347,0.81259,0.85126,0.94219,0.95218,0.97732,0.4453,1.41013,0.86221,0.84333,8.26832e-05,8.26832e-05,8.26832e-05
