epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.869,2.24546,10.5435,0.95996,0.80468,0.48649,0.56545,0.24455,2.59271,3.48126,1.99855,0.00033129,0.00033129,0.00033129
2,461.368,2.16525,5.68416,0.93738,0.74081,0.43581,0.48614,0.19545,2.79244,2.8726,2.06612,0.000664528,0.000664528,0.000664528
3,736.601,2.12887,3.04083,0.94489,0.75658,0.50338,0.55039,0.24407,3.17975,2.70349,2.37766,0.000997115,0.000997115,0.000997115
4,994.731,1.99034,1.68579,0.93083,0.78688,0.5777,0.61748,0.2513,3.27096,2.54326,2.35131,0.00132856,0.00132856,0.00132856
5,1236.39,2.17659,1.44447,0.94334,0.72085,0.54961,0.54413,0.23151,3.40365,4.23931,2.83893,0.00165839,0.00165839,0.00165839
6,1478.02,2.07931,1.24206,0.92027,0.77011,0.5777,0.61643,0.29596,3.58809,2.7091,3.03675,0.00165684,0.00165684,0.00165684
7,1717.75,2.1046,1.15863,0.93736,0.73921,0.57455,0.60089,0.26797,3.51847,2.91887,4.85716,0.00165238,0.00165238,0.00165238
8,1960.41,2.06109,1.11796,0.92878,0.76139,0.539,0.60713,0.28432,3.44815,2.91278,2.66009,0.00164713,0.00164713,0.00164713
9,2198.62,2.00482,1.04071,0.8986,0.81603,0.61486,0.65273,0.30845,3.4671,2.92008,2.75469,0.00164108,0.00164108,0.00164108
10,2433.24,1.89757,0.96843,0.90705,0.87221,0.61486,0.66188,0.31108,3.41599,2.99543,2.63397,0.00163424,0.00163424,0.00163424
11,2636.24,1.83304,0.91592,0.89064,0.84986,0.63105,0.65945,0.31082,3.20007,3.0102,2.51745,0.00162661,0.00162661,0.00162661
12,2870.7,1.89879,0.90996,0.9008,0.84359,0.625,0.652,0.29035,3.29618,3.11465,2.79947,0.00161822,0.00161822,0.00161822
13,3110.33,1.81327,0.89436,0.89554,0.81761,0.61149,0.63872,0.30594,3.16426,3.06752,2.58556,0.00160905,0.00160905,0.00160905
14,3396.46,1.83067,0.85331,0.86657,0.8771,0.65098,0.69925,0.33246,3.17128,3.07741,2.52303,0.00159913,0.00159913,0.00159913
15,3646.06,1.80061,0.90172,0.89888,0.85266,0.62162,0.65029,0.3202,3.23615,3.14944,2.51801,0.00158847,0.00158847,0.00158847
16,3893.4,1.82745,0.85776,0.87478,0.86222,0.63851,0.68081,0.3368,3.44163,3.13868,2.76116,0.00157706,0.00157706,0.00157706
17,4116.54,1.78615,0.82901,0.87447,0.92242,0.64274,0.6796,0.34021,3.48807,3.22616,2.89799,0.00156493,0.00156493,0.00156493
18,4379.74,1.71735,0.79667,0.87006,0.88271,0.63566,0.66172,0.32552,3.26576,3.19618,2.67778,0.00155209,0.00155209,0.00155209
19,4631.79,1.82422,0.86256,0.88349,0.92283,0.64189,0.69968,0.34378,3.31429,3.41448,2.68739,0.00153854,0.00153854,0.00153854
20,4873.41,1.80159,0.7979,0.89298,0.9658,0.66785,0.72501,0.37819,3.24996,3.17411,5.62979,0.00152431,0.00152431,0.00152431
21,5093.13,1.7477,0.81955,0.87702,0.8944,0.65541,0.69323,0.3514,3.24629,3.18279,6.41292,0.00150941,0.00150941,0.00150941
22,5335.84,1.81523,0.83848,0.87662,0.86373,0.64241,0.6894,0.34075,3.09104,3.27525,2.46517,0.00149384,0.00149384,0.00149384
23,5578.59,1.75624,0.81533,0.87923,0.91635,0.66612,0.71358,0.35579,3.22436,3.21309,2.67246,0.00147764,0.00147764,0.00147764
24,5828.98,1.76356,0.80258,0.88491,0.92464,0.66323,0.69081,0.31019,3.44098,3.24639,2.83901,0.0014608,0.0014608,0.0014608
25,6067.24,1.67703,0.77587,0.86843,0.92286,0.63176,0.68548,0.36082,3.13883,3.36813,2.49934,0.00144335,0.00144335,0.00144335
26,6278.14,1.68949,0.75101,0.85336,0.96175,0.67568,0.73429,0.37748,3.17131,3.27907,2.53972,0.00142531,0.00142531,0.00142531
27,6448,1.73673,0.78975,0.86434,0.91343,0.65541,0.70912,0.37487,3.07659,3.34137,2.52858,0.0014067,0.0014067,0.0014067
28,6676.83,1.73106,0.77961,0.86354,0.92324,0.66892,0.70121,0.373,2.95702,3.31038,2.44134,0.00138753,0.00138753,0.00138753
29,6920.4,1.67191,0.74241,0.86561,0.88932,0.66554,0.71066,0.36519,3.02841,3.43731,2.41808,0.00136781,0.00136781,0.00136781
30,7176.81,1.74057,0.79295,0.8531,0.92074,0.66892,0.71221,0.36183,3.14767,3.33816,4.22128,0.00134758,0.00134758,0.00134758
31,7417.39,1.74248,0.78115,0.8585,0.9482,0.68033,0.72484,0.37498,3.01777,3.37475,2.4886,0.00132685,0.00132685,0.00132685
32,7671.79,1.73485,0.76757,0.86169,0.93429,0.66892,0.72824,0.38673,3.12463,3.40285,2.54885,0.00130565,0.00130565,0.00130565
33,7926.72,1.66471,0.71671,0.84355,0.93336,0.67905,0.71051,0.37432,3.00029,3.43808,2.43354,0.00128398,0.00128398,0.00128398
