epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.135,1.33481,3.77387,1.246,0.75575,0.7422,0.77806,0.41874,1.64349,2.81184,1.17976,0.000331856,0.000331856,0.000331856
2,907.376,1.2871,2.12386,1.13997,0.7227,0.66892,0.74437,0.33872,1.87815,1.7652,1.6052,0.000665094,0.000665094,0.000665094
3,1276.42,1.34296,1.42305,1.13835,0.76689,0.65203,0.71146,0.33191,1.68619,1.44893,1.15464,0.000997681,0.000997681,0.000997681
4,1647.3,1.31865,1.13916,1.14611,0.76934,0.68736,0.76822,0.31607,1.9169,1.15259,1.52088,0.00132913,0.00132913,0.00132913
5,2025.6,1.36972,1.14008,1.15905,0.83971,0.72635,0.83095,0.43616,1.61812,0.87077,1.14517,0.00165896,0.00165896,0.00165896
6,2402.64,1.28148,1.00457,1.12867,0.80861,0.78378,0.86694,0.44073,1.52386,0.84274,1.05698,0.00165684,0.00165684,0.00165684
7,2780.59,1.21348,0.86147,1.0756,0.77282,0.78378,0.83386,0.46335,1.40405,0.92656,0.95962,0.00165238,0.00165238,0.00165238
8,3157.39,1.20632,0.83154,1.08097,0.91942,0.82432,0.89382,0.5068,1.35908,0.74154,0.97861,0.00164713,0.00164713,0.00164713
9,3539.23,1.15062,0.77428,1.05381,0.85807,0.85135,0.89834,0.4682,1.54923,0.78594,1.12381,0.00164108,0.00164108,0.00164108
10,3948.64,1.10665,0.74901,1.04452,0.88928,0.88851,0.92902,0.54043,1.30562,0.71501,0.93191,0.00163424,0.00163424,0.00163424
11,4340.55,1.09308,0.73795,1.04165,0.91833,0.86486,0.91984,0.53961,1.26933,0.66943,0.95391,0.00162661,0.00162661,0.00162661
12,4762.09,1.05922,0.70018,1.01925,0.8879,0.8563,0.90496,0.512,1.37715,0.80601,0.99811,0.00161822,0.00161822,0.00161822
13,5152.78,1.04588,0.70207,1.00964,0.91833,0.82432,0.88682,0.51913,1.29228,0.77344,0.93288,0.00160905,0.00160905,0.00160905
14,5599.43,1.02431,0.6533,1.01869,0.88629,0.84459,0.88965,0.54314,1.3175,0.68799,0.99366,0.00159913,0.00159913,0.00159913
15,6003.29,1.01333,0.6673,0.99898,0.88912,0.88176,0.91815,0.5746,1.20781,0.61936,0.869,0.00158847,0.00158847,0.00158847
16,6413.68,1.00096,0.62683,0.99773,0.93805,0.86964,0.93707,0.57235,1.24018,0.59488,0.8965,0.00157706,0.00157706,0.00157706
17,6782.79,0.96657,0.61208,0.98153,0.92574,0.84459,0.93706,0.57559,1.24267,0.62931,0.88964,0.00156493,0.00156493,0.00156493
18,7222.47,0.91781,0.62182,0.97384,0.83436,0.88491,0.91199,0.55662,1.27752,0.65318,1.00968,0.00155209,0.00155209,0.00155209
19,7686.76,0.95213,0.58314,0.98777,0.93872,0.90878,0.94991,0.57413,1.25049,0.59574,0.89137,0.00153854,0.00153854,0.00153854
20,8115.47,0.92781,0.57963,0.97407,0.9564,0.93243,0.96615,0.6005,1.1269,0.56069,0.81947,0.00152431,0.00152431,0.00152431
21,8530.7,0.90928,0.56157,0.96877,0.89813,0.90541,0.9366,0.5575,1.24773,0.60992,0.88155,0.00150941,0.00150941,0.00150941
22,8944.51,0.89773,0.53633,0.96303,0.92781,0.91177,0.95217,0.60004,1.16494,0.60038,0.85253,0.00149384,0.00149384,0.00149384
23,9346.86,0.87718,0.52272,0.94742,0.92789,0.86824,0.9239,0.5782,1.14711,0.63053,0.83955,0.00147764,0.00147764,0.00147764
24,9749.77,0.86779,0.5269,0.94493,0.89838,0.91892,0.94029,0.60321,1.14473,0.557,0.88141,0.0014608,0.0014608,0.0014608
25,10153.3,0.8529,0.50512,0.95292,0.9267,0.93965,0.96488,0.60917,1.16044,0.5576,0.87647,0.00144335,0.00144335,0.00144335
26,10543.2,0.85719,0.50823,0.94931,0.91174,0.89865,0.93416,0.57523,1.15469,0.59979,0.8933,0.00142531,0.00142531,0.00142531
27,11006.2,0.79836,0.49234,0.94273,0.93701,0.93243,0.95971,0.60083,1.12392,0.56042,0.84612,0.0014067,0.0014067,0.0014067
28,11423.8,0.84675,0.51531,0.94799,0.92766,0.90978,0.94721,0.58479,1.22018,0.59735,0.85855,0.00138753,0.00138753,0.00138753
29,13109.4,0.83233,0.50798,0.94553,0.92355,0.93919,0.96358,0.60173,1.1511,0.5621,0.8312,0.00136781,0.00136781,0.00136781
30,13535.5,0.82382,0.49578,0.93616,0.93263,0.93539,0.95597,0.58958,1.18187,0.53452,0.80817,0.00134758,0.00134758,0.00134758
31,13983.1,0.80598,0.49658,0.93215,0.95834,0.93253,0.95804,0.61782,1.09848,0.52524,0.80152,0.00132685,0.00132685,0.00132685
32,14400.8,0.82465,0.49052,0.93208,0.96145,0.92905,0.96115,0.60504,1.11425,0.53244,0.86294,0.00130565,0.00130565,0.00130565
33,14828.6,0.81112,0.47142,0.93529,0.92277,0.875,0.92545,0.5711,1.22481,0.64367,0.89859,0.00128398,0.00128398,0.00128398
34,15254.8,0.783,0.46587,0.92446,0.96458,0.91994,0.96444,0.61283,1.13021,0.52278,0.81784,0.00126188,0.00126188,0.00126188
35,15687.7,0.79091,0.45593,0.92537,0.91467,0.90532,0.94351,0.62224,1.07706,0.52544,0.80175,0.00123936,0.00123936,0.00123936
36,16113.9,0.77585,0.44065,0.92376,0.91532,0.89865,0.92327,0.57517,1.10788,0.6066,0.81832,0.00121645,0.00121645,0.00121645
37,16551.4,0.77841,0.45791,0.91934,0.92305,0.93206,0.95387,0.61275,1.1285,0.54448,0.82163,0.00119317,0.00119317,0.00119317
38,16964.4,0.77032,0.45419,0.92576,0.92433,0.9527,0.9629,0.61424,1.1113,0.52427,0.78644,0.00116955,0.00116955,0.00116955
39,17382.9,0.78354,0.45893,0.92812,0.95813,0.92771,0.95969,0.60785,1.13128,0.52843,0.81212,0.0011456,0.0011456,0.0011456
40,17787.5,0.76532,0.44699,0.91756,0.9251,0.90541,0.93178,0.59946,1.11839,0.51976,0.81841,0.00112135,0.00112135,0.00112135
41,18194.8,0.76218,0.45107,0.91477,0.93655,0.94753,0.9564,0.61595,1.10316,0.49573,0.78624,0.00109683,0.00109683,0.00109683
42,18607,0.72956,0.4214,0.91393,0.94996,0.93581,0.95539,0.63753,1.07181,0.4841,0.79457,0.00107205,0.00107205,0.00107205
43,19034.8,0.77577,0.44396,0.92604,0.93361,0.89527,0.93848,0.59075,1.13455,0.65258,0.88163,0.00104705,0.00104705,0.00104705
44,19466.2,0.77093,0.45813,0.91079,0.96025,0.93243,0.96254,0.63105,1.04276,0.5067,0.83895,0.00102184,0.00102184,0.00102184
45,19912.7,0.72198,0.42501,0.90176,0.93687,0.92568,0.9522,0.61896,1.01872,0.53445,0.81381,0.000996456,0.000996456,0.000996456
46,20344.6,0.72248,0.40559,0.91304,0.95802,0.9223,0.96342,0.62335,1.07827,0.51898,0.81265,0.000970919,0.000970919,0.000970919
47,20788,0.72688,0.41599,0.90027,0.93836,0.96284,0.96818,0.63455,1.03349,0.46286,0.78321,0.000945256,0.000945256,0.000945256
48,21225.6,0.71641,0.42466,0.89856,0.92231,0.92252,0.93392,0.60003,1.1315,0.4984,0.82239,0.00091949,0.00091949,0.00091949
49,21670,0.73346,0.41556,0.89957,0.96882,0.94476,0.9749,0.63069,1.11731,0.48587,0.80843,0.000893648,0.000893648,0.000893648
50,22107.4,0.70723,0.39657,0.90049,0.95254,0.94926,0.97177,0.63616,1.05926,0.49266,0.80643,0.000867754,0.000867754,0.000867754
51,22550.9,0.72673,0.40618,0.90836,0.94758,0.916,0.95261,0.60994,1.1007,0.55764,0.85942,0.000841835,0.000841835,0.000841835
52,22974.6,0.70203,0.3822,0.90535,0.95981,0.93919,0.97556,0.65291,1.02584,0.46464,0.79253,0.000815916,0.000815916,0.000815916
53,23405.3,0.70885,0.3939,0.89781,0.9639,0.91554,0.97237,0.64557,1.05927,0.52933,0.81088,0.000790022,0.000790022,0.000790022
54,23829.1,0.69653,0.3919,0.89158,0.94236,0.93898,0.95828,0.64832,1.01852,0.53303,0.79082,0.00076418,0.00076418,0.00076418
55,24259,0.69144,0.38904,0.89131,0.96188,0.93772,0.9712,0.65506,1.0274,0.49592,0.78993,0.000738414,0.000738414,0.000738414
56,24695.2,0.67296,0.37509,0.88673,0.9685,0.935,0.9732,0.669,1.00433,0.43748,0.76914,0.000712751,0.000712751,0.000712751
57,25133,0.67457,0.36849,0.89681,0.95841,0.9342,0.97068,0.65721,1.00794,0.4531,0.78574,0.000687214,0.000687214,0.000687214
58,25566.2,0.66192,0.37422,0.89845,0.9612,0.93581,0.96482,0.66099,0.98761,0.43438,0.76059,0.000661831,0.000661831,0.000661831
59,26003.1,0.66867,0.38118,0.89305,0.93615,0.94113,0.96914,0.65775,0.9893,0.45377,0.76916,0.000636625,0.000636625,0.000636625
