epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6480.37,1.14997,2.11628,1.13793,0.81853,0.75883,0.80885,0.42713,1.72232,2.21823,1.26033,0.00107205,0.00107205,0.00107205
43,6588.52,1.15011,2.14732,1.12569,0.77203,0.76178,0.80779,0.45292,1.70187,2.23326,1.28369,0.00104705,0.00104705,0.00104705
44,6696.94,1.12095,2.09319,1.11006,0.84349,0.71785,0.79961,0.44901,1.70528,2.22559,1.25593,0.00102184,0.00102184,0.00102184
45,6805.03,1.11116,2.07057,1.11586,0.83563,0.74206,0.79427,0.43931,1.72361,2.2327,1.20836,0.000996456,0.000996456,0.000996456
46,6913.34,1.12434,2.03321,1.1163,0.86242,0.77694,0.8226,0.44492,1.71112,2.2023,1.24599,0.000970919,0.000970919,0.000970919
47,7021.45,1.10208,1.99945,1.10635,0.84764,0.7522,0.80651,0.4542,1.71098,2.25603,1.27565,0.000945256,0.000945256,0.000945256
48,7129.63,1.10962,2.00362,1.11705,0.82859,0.76947,0.78635,0.43971,1.64382,2.24246,1.22253,0.00091949,0.00091949,0.00091949
49,7237.55,1.103,1.96828,1.10763,0.82537,0.78094,0.80991,0.45002,1.62448,2.14775,1.25461,0.000893648,0.000893648,0.000893648
50,7345.51,1.08822,1.96291,1.10169,0.82135,0.76591,0.81146,0.45359,1.62992,2.20215,1.22684,0.000867754,0.000867754,0.000867754
51,7453.55,1.08296,1.95878,1.09868,0.81765,0.75106,0.80188,0.43891,1.70261,2.22322,1.26455,0.000841835,0.000841835,0.000841835
52,7561.68,1.07804,1.92709,1.08929,0.79892,0.769,0.81084,0.43837,1.65168,2.16361,1.23997,0.000815916,0.000815916,0.000815916
53,7670.1,1.06298,1.87405,1.0888,0.82904,0.72844,0.78162,0.44293,1.65735,2.20544,1.22316,0.000790022,0.000790022,0.000790022
54,7778.34,1.06594,1.8777,1.08479,0.7704,0.77384,0.80023,0.45878,1.64557,2.21132,1.17148,0.00076418,0.00076418,0.00076418
55,7886.88,1.05499,1.86923,1.08297,0.85061,0.74544,0.81269,0.4551,1.66847,2.11302,1.25263,0.000738414,0.000738414,0.000738414
56,7995.3,1.05574,1.86273,1.08144,0.85658,0.75228,0.81395,0.44302,1.66431,2.22385,1.3734,0.000712751,0.000712751,0.000712751
57,8104.7,1.04405,1.83918,1.06479,0.83985,0.77469,0.82154,0.45971,1.64573,2.09069,1.31372,0.000687214,0.000687214,0.000687214
58,8213.33,1.04472,1.79489,1.06658,0.84648,0.73881,0.80725,0.44812,1.63917,2.14388,1.25962,0.000661831,0.000661831,0.000661831
59,8321.91,1.01319,1.77419,1.06842,0.83995,0.75304,0.81963,0.46337,1.64711,2.04668,1.24154,0.000636625,0.000636625,0.000636625
60,8431.33,1.01237,1.7466,1.06644,0.835,0.77527,0.8143,0.44895,1.6779,2.12723,1.40462,0.000611621,0.000611621,0.000611621
61,8539.55,1.0067,1.74349,1.06438,0.83316,0.75114,0.8183,0.46557,1.61897,2.10064,1.22213,0.000586845,0.000586845,0.000586845
62,8647.74,1.00615,1.74254,1.05767,0.79017,0.81694,0.82525,0.46102,1.65297,2.13749,1.32553,0.00056232,0.00056232,0.00056232
63,8755.6,0.99097,1.72998,1.05213,0.85262,0.76824,0.82925,0.47376,1.60808,2.10448,1.31258,0.000538072,0.000538072,0.000538072
64,8864.06,0.97945,1.6993,1.03976,0.86471,0.74269,0.81286,0.45855,1.62295,2.22033,1.27113,0.000514122,0.000514122,0.000514122
65,8972.46,0.98739,1.72639,1.05727,0.87116,0.74918,0.81591,0.44836,1.65507,2.18822,1.36215,0.000490497,0.000490497,0.000490497
66,9080.7,0.96711,1.6688,1.03965,0.83238,0.80471,0.82654,0.45752,1.64667,2.11788,1.285,0.000467218,0.000467218,0.000467218
67,9188.68,0.96933,1.64551,1.04364,0.85116,0.78248,0.82311,0.46564,1.62071,2.14237,1.28729,0.000444309,0.000444309,0.000444309
68,9296.75,0.97552,1.66208,1.04335,0.87115,0.73081,0.81903,0.45879,1.61641,2.10779,1.29692,0.000421792,0.000421792,0.000421792
69,9404.86,0.95309,1.62203,1.02876,0.8125,0.80297,0.81756,0.47274,1.61077,2.08675,1.28244,0.000399689,0.000399689,0.000399689
70,9512.95,0.95716,1.6102,1.03388,0.88401,0.77463,0.82269,0.46143,1.62236,2.16832,1.31174,0.000378023,0.000378023,0.000378023
71,9621.07,0.94202,1.58514,1.0235,0.84634,0.77627,0.81295,0.46067,1.62612,2.0845,1.30356,0.000356815,0.000356815,0.000356815
72,9729.16,0.94185,1.59394,1.02504,0.85996,0.78419,0.82039,0.46533,1.65386,2.16086,1.36847,0.000336086,0.000336086,0.000336086
73,9837.37,0.92003,1.52906,1.02066,0.84628,0.79318,0.81551,0.46777,1.62006,2.12951,1.29079,0.000315855,0.000315855,0.000315855
74,9945.64,0.92383,1.56933,1.01278,0.86871,0.78467,0.81212,0.46274,1.60345,2.14002,1.31917,0.000296144,0.000296144,0.000296144
75,10053.7,0.90255,1.5241,1.00618,0.83941,0.77166,0.83042,0.47827,1.61056,2.08608,1.34411,0.000276971,0.000276971,0.000276971
76,10162,0.90924,1.53144,1.01226,0.8668,0.7782,0.83522,0.46946,1.60974,2.13379,1.31508,0.000258355,0.000258355,0.000258355
77,10270,0.92105,1.53234,1.01871,0.84334,0.78457,0.81965,0.4663,1.61994,2.15217,1.30997,0.000240316,0.000240316,0.000240316
78,10378,0.90508,1.51363,1.01029,0.80802,0.77964,0.81306,0.45978,1.63505,2.19059,1.34247,0.00022287,0.00022287,0.00022287
79,10485.9,0.88215,1.47266,1.00487,0.83073,0.78024,0.8166,0.46283,1.62334,2.17416,1.33525,0.000206034,0.000206034,0.000206034
80,10594.1,0.89324,1.47899,0.9987,0.84693,0.77386,0.82919,0.46981,1.61414,2.19872,1.35846,0.000189827,0.000189827,0.000189827
81,10702.3,0.88407,1.46182,1.00399,0.83909,0.7766,0.81626,0.46149,1.62082,2.2146,1.36967,0.000174262,0.000174262,0.000174262
82,10810.4,0.88867,1.4811,1.00373,0.832,0.78951,0.83144,0.47306,1.59978,2.21742,1.32499,0.000159357,0.000159357,0.000159357
83,10920,0.86569,1.42024,0.99704,0.85503,0.78752,0.832,0.47397,1.60402,2.21366,1.29959,0.000145125,0.000145125,0.000145125
84,11028.2,0.87919,1.45585,0.98944,0.90023,0.76185,0.8274,0.47446,1.60031,2.20864,1.29765,0.000131581,0.000131581,0.000131581
85,11136.3,0.87316,1.44987,1.0002,0.88816,0.76527,0.82419,0.46628,1.61011,2.25958,1.30755,0.000118737,0.000118737,0.000118737
86,11244.6,0.85393,1.41578,0.98211,0.8964,0.75209,0.82409,0.46448,1.59627,2.25912,1.31993,0.000106608,0.000106608,0.000106608
87,11353,0.86397,1.4402,0.98922,0.87408,0.76396,0.82161,0.46465,1.59996,2.2802,1.32807,9.52034e-05,9.52034e-05,9.52034e-05
88,11461.4,0.87548,1.43943,0.99331,0.8814,0.76102,0.82129,0.46098,1.61022,2.29605,1.34085,8.4536e-05,8.4536e-05,8.4536e-05
89,11569.5,0.8795,1.4435,1.00015,0.84068,0.77432,0.82003,0.45983,1.60698,2.29037,1.33755,7.4616e-05,7.4616e-05,7.4616e-05
