epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.431,1.23967,2.12993,1.31011,0.76395,0.49347,0.6148,0.40121,1.54675,2.41039,0.94849,0.000330667,0.000330667,0.000330667
2,218.683,1.01278,1.18647,1.11773,0.6849,0.76238,0.77669,0.42307,1.54883,1.787,0.9979,0.000664027,0.000664027,0.000664027
3,325.419,1.00757,0.97972,1.09956,0.51268,0.60351,0.64842,0.42515,1.441,2.41733,0.88401,0.000997224,0.000997224,0.000997224
4,430.545,1.00343,0.85203,1.08818,0.78882,0.81812,0.85719,0.52029,1.27769,1.10627,0.88691,0.00133014,0.00133014,0.00133014
5,535.754,1.00209,0.77949,1.08792,0.66712,0.74511,0.75851,0.50736,1.23023,1.08532,0.81925,0.00166264,0.00166264,0.00166264
6,639.82,0.94551,0.69818,1.06977,0.79119,0.8368,0.84419,0.52735,1.27057,0.92641,0.86306,0.00166446,0.00166446,0.00166446
7,744.591,0.9374,0.66779,1.06111,0.81911,0.85925,0.86218,0.55988,1.24881,0.73879,0.79678,0.00166334,0.00166334,0.00166334
8,847.051,0.88637,0.60936,1.04165,0.83917,0.85478,0.88195,0.56151,1.25716,0.7594,0.83455,0.00166202,0.00166202,0.00166202
9,950.637,0.86389,0.60226,1.02765,0.94342,0.86256,0.9235,0.55729,1.28651,0.69595,0.93835,0.00166049,0.00166049,0.00166049
10,1050.93,0.86316,0.58305,1.0212,0.92159,0.86528,0.92124,0.57197,1.21482,0.69387,0.85184,0.00165877,0.00165877,0.00165877
11,1151.63,0.84742,0.56767,1.02622,0.91046,0.86961,0.92667,0.61185,1.1263,0.63669,0.8038,0.00165684,0.00165684,0.00165684
12,1251.64,0.81851,0.53932,1.01078,0.87754,0.86899,0.90298,0.58842,1.20372,0.74851,0.82701,0.00165471,0.00165471,0.00165471
13,1350.99,0.77157,0.52143,0.99422,0.92812,0.87369,0.924,0.59883,1.16578,0.60813,0.79801,0.00165238,0.00165238,0.00165238
14,1450.62,0.78839,0.52624,0.99912,0.93524,0.89504,0.92818,0.60276,1.20886,0.60846,0.86126,0.00164986,0.00164986,0.00164986
15,1550.59,0.78066,0.5068,0.99751,0.94648,0.90465,0.94488,0.62889,1.1649,0.56722,0.78729,0.00164713,0.00164713,0.00164713
16,1651.01,0.79497,0.51757,0.99105,0.90394,0.88196,0.91279,0.59856,1.16892,0.62811,0.82672,0.0016442,0.0016442,0.0016442
17,1753.32,0.75625,0.4942,0.98649,0.80262,0.86317,0.88326,0.56563,1.14919,0.88471,0.80183,0.00164108,0.00164108,0.00164108
18,1855.19,0.7476,0.47963,0.97824,0.93723,0.91764,0.95077,0.62458,1.15443,0.54811,0.79429,0.00163775,0.00163775,0.00163775
19,1956.37,0.73602,0.46147,0.97577,0.89393,0.88271,0.91282,0.59643,1.173,0.62758,0.77908,0.00163424,0.00163424,0.00163424
20,2060.25,0.72975,0.45695,0.96689,0.87914,0.89922,0.92324,0.63604,1.05959,0.57131,0.75967,0.00163052,0.00163052,0.00163052
21,2161.16,0.72567,0.46095,0.9665,0.92054,0.91756,0.95029,0.65497,1.10969,0.50383,0.76438,0.00162661,0.00162661,0.00162661
22,2262.53,0.73939,0.46448,0.97138,0.87775,0.8972,0.91423,0.61164,1.08586,0.65339,0.77158,0.00162251,0.00162251,0.00162251
23,2363.21,0.71099,0.45136,0.96494,0.91703,0.9134,0.93808,0.64024,1.056,0.54245,0.75696,0.00161822,0.00161822,0.00161822
24,2467.94,0.68349,0.42487,0.95892,0.84908,0.90463,0.8882,0.5993,1.11175,0.63692,0.75323,0.00161373,0.00161373,0.00161373
25,2568.9,0.70249,0.44523,0.95832,0.94039,0.92076,0.954,0.65571,1.04441,0.52621,0.7426,0.00160905,0.00160905,0.00160905
26,2670.04,0.69507,0.44001,0.95387,0.83027,0.86686,0.87675,0.57528,1.22941,0.66615,0.80336,0.00160419,0.00160419,0.00160419
27,2771.69,0.7015,0.44506,0.96201,0.89031,0.90516,0.92904,0.65838,1.02019,0.5161,0.74861,0.00159913,0.00159913,0.00159913
28,2871.44,0.67921,0.42092,0.95715,0.94676,0.92144,0.96246,0.66757,1.03821,0.50099,0.75529,0.00159389,0.00159389,0.00159389
29,2971.28,0.67603,0.42775,0.94835,0.91803,0.88501,0.9371,0.64532,1.06598,0.53245,0.73952,0.00158847,0.00158847,0.00158847
30,3070.83,0.69504,0.43484,0.95397,0.85293,0.90268,0.93134,0.64429,1.03842,0.67237,0.74998,0.00158286,0.00158286,0.00158286
31,3170.91,0.69902,0.42974,0.95749,0.91279,0.93084,0.94814,0.65579,1.04341,0.52383,0.73847,0.00157706,0.00157706,0.00157706
32,3270.81,0.68669,0.429,0.94717,0.94485,0.93256,0.95923,0.65944,1.03408,0.48409,0.75296,0.00157109,0.00157109,0.00157109
33,3371.16,0.66971,0.4213,0.95017,0.94883,0.91959,0.95317,0.67179,0.989,0.48298,0.74662,0.00156493,0.00156493,0.00156493
34,3472.87,0.6715,0.41266,0.95404,0.89847,0.93536,0.94431,0.65735,1.0545,0.50835,0.758,0.0015586,0.0015586,0.0015586
35,3573.29,0.65636,0.41216,0.95395,0.86011,0.91699,0.90683,0.58901,1.17192,0.78921,0.80673,0.00155209,0.00155209,0.00155209
36,3672.77,0.65411,0.39583,0.93754,0.93437,0.93095,0.95687,0.66181,1.05222,0.5002,0.746,0.0015454,0.0015454,0.0015454
37,3772.13,0.65578,0.39681,0.94681,0.94353,0.93281,0.96317,0.67894,1.00252,0.47648,0.7641,0.00153854,0.00153854,0.00153854
38,3875.89,0.64906,0.40807,0.9448,0.88052,0.94177,0.93737,0.65861,0.98264,0.54363,0.75243,0.00153151,0.00153151,0.00153151
39,3975.69,0.62058,0.38893,0.93064,0.9646,0.95022,0.96633,0.66577,1.04865,0.48753,0.74825,0.00152431,0.00152431,0.00152431
40,4075.7,0.63732,0.39656,0.9376,0.95386,0.94024,0.96291,0.68974,0.94719,0.44582,0.70732,0.00151694,0.00151694,0.00151694
41,4176.09,0.64181,0.39699,0.94663,0.8546,0.92911,0.91956,0.65235,0.98258,0.53119,0.72041,0.00150941,0.00150941,0.00150941
42,4276.39,0.63053,0.39152,0.92777,0.9193,0.93645,0.95308,0.66931,1.02481,0.49951,0.72608,0.00150171,0.00150171,0.00150171
